Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2007,11,2,5,1534,1540,1654,1710,XE,7770,N12569,80,90,55,-16,-6,OAK,LAX,337,12,13,0,,0,0,0,0,0,0
2007,9,11,2,1822,1823,2258,2257,US,596,N650AW,156,154,127,1,-1,PHX,MCI,1044,7,22,0,,0,0,0,0,0,0
2007,9,24,1,711,715,830,844,US,1243,N425US,79,89,66,-14,-4,MHT,PHL,290,3,10,0,,0,0,0,0,0,0
2007,11,5,1,2243,2250,549,556,NW,222,N588NW,306,306,281,-7,-7,HNL,SFO,2398,6,19,0,,0,0,0,0,0,0
2007,7,8,7,1656,1700,1832,1840,XE,2607,N16944,96,100,73,-8,-4,CLE,LGA,418,7,16,0,,0,0,0,0,0,0
2007,1,25,4,2133,2140,2242,2255,MQ,3701,N663AR,69,75,52,-13,-7,DFW,ICT,328,5,12,0,,0,0,0,0,0,0
2007,4,15,7,1456,1450,1625,1608,XE,2350,N12934,89,78,60,17,6,SYR,CLE,317,4,25,0,,0,0,6,11,0,0
2007,2,16,5,1406,1400,1505,1505,WN,1073,N253WN,59,65,41,0,6,LAS,LAX,236,6,12,0,,0,0,0,0,0,0
2007,6,5,2,1120,1125,1300,1305,9E,5929,86839E,160,160,141,-5,-5,PHL,MEM,874,6,13,0,,0,0,0,0,0,0
2007,4,1,7,1922,1930,2017,2025,OO,6186,N292SW,55,55,38,-8,-8,FAT,SFO,158,7,10,0,,0,0,0,0,0,0
2007,12,3,1,843,840,1059,1026,US,1773,N722US,136,106,96,33,3,DTW,CLT,500,8,32,0,,0,3,0,30,0,0
2007,5,31,4,1016,1015,1105,1059,MQ,4150,N627AE,109,104,78,6,1,TYS,ORD,475,23,8,0,,0,0,0,0,0,0
2007,12,25,2,1936,1940,2120,2146,DL,940,N912DL,104,126,86,-26,-4,CVG,LGA,585,5,13,0,,0,0,0,0,0,0
2007,8,31,5,655,705,655,700,MQ,4152,N650AE,60,55,30,-5,-10,GRR,ORD,137,7,23,0,,0,0,0,0,0,0
2007,5,5,6,1759,1745,2020,2025,WN,90,N490WN,141,160,129,-5,14,MDW,HOU,937,4,8,0,,0,0,0,0,0,0
2007,5,29,2,1759,1750,1953,2000,WN,333,N414WN,114,130,103,-7,9,PDX,LAS,762,4,7,0,,0,0,0,0,0,0
2007,2,4,7,2143,2130,7,2359,DL,1029,N648DL,324,329,297,8,13,ATL,SFO,2139,6,21,0,,0,0,0,0,0,0
2007,1,29,1,1612,1500,1705,1555,OO,3734,N299SW,53,55,40,70,72,SLC,TWF,175,2,11,0,,0,0,0,0,0,70
2007,3,12,1,1842,1817,2032,2013,US,412,N913AW,110,116,92,19,25,SFO,PHX,651,4,14,0,,0,0,0,0,0,19
2007,8,11,6,924,930,1004,1015,MQ,4377,N819AE,40,45,28,-11,-6,PIA,ORD,130,5,7,0,,0,0,0,0,0,0
2007,7,29,7,1846,1540,2136,1850,MQ,4444,N522AE,110,130,86,166,186,ORD,ATL,606,10,14,0,,0,102,0,0,0,64
2007,7,22,7,816,820,956,1015,MQ,4253,N695AE,100,115,79,-19,-4,ORD,ICT,588,4,17,0,,0,0,0,0,0,0
2007,4,29,7,924,929,1101,1115,EV,4468,N838AS,97,106,62,-14,-5,ATL,FWA,508,13,22,0,,0,0,0,0,0,0
2007,2,20,2,712,715,836,858,9E,4792,87189E,84,103,67,-22,-3,IND,DCA,499,6,11,0,,0,0,0,0,0,0
2007,8,30,4,1123,1000,1323,1215,EV,4663,N836AS,120,135,105,68,83,BUF,ATL,712,7,8,0,,0,68,0,0,0,0
2007,6,8,5,1743,1738,2052,2054,OO,1990,N807SK,129,136,102,-2,5,DFW,CVG,812,9,18,0,,0,0,0,0,0,0
2007,11,24,6,1248,1256,1532,1525,OO,6172,N939SW,104,89,77,7,-8,DEN,FSD,483,5,22,0,,0,0,0,0,0,0
2007,4,10,2,1418,1400,1658,1637,US,718,N920UW,160,157,138,21,18,FLL,PHL,992,2,20,0,,0,6,0,3,0,12
2007,4,3,2,800,800,1311,1310,WN,1044,N700GS,191,190,172,1,0,PHX,MDW,1444,7,12,0,,0,0,0,0,0,0
